l,Uniform,Gauss,SRFT,SRHT
10,0.0148109339050835,0.0172096751898416,0.0179794676367771,0.0165345586727452
20,0.0168017804949968,0.0233366711849602,0.0174347225326286,0.0168827695786298
40,0.0195459647674023,0.0184707060014465,0.0195776038723312,0.018618093070377
60,0.0175030177620241,0.0186113508455928,0.0182780788097928,0.0190942380735216
80,0.0184035965968555,0.0190813270327279,0.017463336195611,0.0181854453377326
100,0.0206663877039916,0.0202825681183522,0.0192976955699858,0.0202121261667835
200,0.0213125941139323,0.0226050107442718,0.0205058483792675,0.0219944033991535
300,0.0230034883240578,0.0228353015155287,0.0223108374466312,0.0236396486772434
400,0.0249238968308834,0.0242807039265058,0.0254624489484094,0.0250905935711186
500,0.0276760628104353,0.0266242422975015,0.0272273358674456,0.0265802797611051